time,x,y,z,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.43492,0.015861,0.025797,0.014767,-0.043762,-0.003605,0.997021,-0.063407,-172.72632269285884,-5.0324786184468335,-179.90573515534166,-172.72632269285884,-5.0324786184468335,-179.90573515534166
3.436934,0.015861,0.025797,0.014767,-0.043768,-0.003609,0.997021,-0.063413,-172.72566294279596,-5.033198439797217,-179.9053505040265,-172.72566294279596,-5.033198439797217,-179.9053505040265
3.446904,0.015857,0.025795,0.01477,-0.043801,-0.003787,0.997021,-0.063382,-172.73011224439324,-5.038268265992624,-179.88501894067596,-172.73011224439324,-5.038268265992624,-179.88501894067596
3.451007,0.015858,0.025797,0.01477,-0.04379,-0.003797,0.997023,-0.063345,-172.73441169821407,-5.03707346609379,-179.88360438761413,-172.73441169821407,-5.03707346609379,-179.88360438761413
3.452894,0.015858,0.025797,0.01477,-0.043767,-0.00381,0.997024,-0.06335,-172.73392101907268,-5.0345374803537535,-179.88197113412537,-172.73392101907268,-5.0345374803537535,-179.88197113412537
3.458942,0.015859,0.025798,0.014771,-0.043734,-0.003823,0.997025,-0.06335,-172.73399477563086,-5.030852389382869,-179.88023968161988,-172.73399477563086,-5.030852389382869,-179.88023968161988
3.464902,0.015855,0.025808,0.014776,-0.043739,-0.003889,0.997028,-0.063302,-172.7398601772518,-5.031900445067964,-179.87246354460757,-172.7398601772518,-5.031900445067964,-179.87246354460757
3.466867,0.015856,0.025809,0.014777,-0.043716,-0.003897,0.99703,-0.06329,-172.7412995908587,-5.029325444508435,-179.8713179141361,-172.7412995908587,-5.029325444508435,-179.8713179141361
3.470885,0.015857,0.025809,0.014777,-0.043684,-0.003905,0.99703,-0.063306,-172.73950577894004,-5.0257207166688636,-179.8702483294144,-172.73950577894004,-5.0257207166688636,-179.8702483294144
3.472868,0.015858,0.025808,0.014779,-0.04364,-0.003915,0.997031,-0.063325,-172.73739721165285,-5.020760680704756,-179.8688770783349,-172.73739721165285,-5.020760680704756,-179.8688770783349
3.476873,0.015859,0.025808,0.014779,-0.043609,-0.003921,0.997031,-0.063342,-172.7354798033203,-5.017256631180898,-179.86804896539374,-172.7354798033203,-5.017256631180898,-179.86804896539374
3.482921,0.015847,0.025826,0.014781,-0.043827,-0.003846,0.997026,-0.063268,-172.74350416329168,-5.0416552547060265,-179.87786357663902,-172.74350416329168,-5.0416552547060265,-179.87786357663902
3.490925,0.015849,0.025825,0.014783,-0.043775,-0.003858,0.997026,-0.063309,-172.73887785997331,-5.035796700581087,-179.87631653436367,-172.73887785997331,-5.035796700581087,-179.87631653436367
3.495052,0.01585,0.025823,0.014784,-0.043753,-0.003861,0.997023,-0.063364,-172.73256066411992,-5.033304626204476,-179.8760906339743,-172.73256066411992,-5.033304626204476,-179.8760906339743
3.496889,0.01585,0.025822,0.014784,-0.043733,-0.003862,0.997022,-0.063406,-172.7277568016376,-5.031031693789621,-179.8760427276084,-172.7277568016376,-5.031031693789621,-179.8760427276084
3.500888,0.015847,0.025835,0.014793,-0.04378,-0.0038,0.997032,-0.063215,-172.74940924378888,-5.035936893089914,-179.88252914236682,-172.74940924378888,-5.035936893089914,-179.88252914236682
3.506915,0.015847,0.025833,0.014793,-0.043785,-0.003791,0.997029,-0.063253,-172.74497671486165,-5.036446377747138,-179.88379018070447,-172.74497671486165,-5.036446377747138,-179.88379018070447
3.512891,0.015846,0.025831,0.014793,-0.043793,-0.003779,0.997026,-0.063306,-172.73882354251185,-5.037284540401053,-179.88549319000893,-172.73882354251185,-5.037284540401053,-179.88549319000893
3.514864,0.015846,0.025827,0.014794,-0.043811,-0.003764,0.99702,-0.063378,-172.73043234415923,-5.039240730338934,-179.8877094985819,-172.73043234415923,-5.039240730338934,-179.8877094985819
3.518874,0.015846,0.025824,0.014794,-0.04382,-0.003753,0.997015,-0.06345,-172.7220795010472,-5.040198653357693,-179.88940165852816,-172.7220795010472,-5.040198653357693,-179.88940165852816
3.524954,0.01584,0.025807,0.014802,-0.044156,-0.003739,0.997004,-0.063391,-172.72862401156453,-5.0785531928044625,-179.89315857167887,-172.72862401156453,-5.0785531928044625,-179.89315857167887
3.526932,0.01584,0.025805,0.014802,-0.044166,-0.003727,0.997001,-0.063435,-172.7234949445869,-5.079616289139548,-179.89483264640805,-172.7234949445869,-5.079616289139548,-179.89483264640805
3.530914,0.015839,0.025802,0.014802,-0.044191,-0.003711,0.996997,-0.063482,-172.71798847866208,-5.082366719628631,-179.8970904977999,-172.71798847866208,-5.082366719628631,-179.8970904977999
3.532914,0.015839,0.025801,0.014802,-0.044201,-0.003704,0.996995,-0.063509,-172.7148411052444,-5.0834639171732166,-179.89810445219283,-172.7148411052444,-5.0834639171732166,-179.89810445219283
3.536905,0.015838,0.025799,0.014802,-0.044225,-0.003693,0.996991,-0.063558,-172.7091323321951,-5.08613678034834,-179.8997921347268,-172.7091323321951,-5.08613678034834,-179.8997921347268
3.542927,0.015839,0.025819,0.014814,-0.044431,-0.003836,0.996967,-0.063777,-172.68451907872202,-5.110784703911716,-179.88602202087952,-172.68451907872202,-5.110784703911716,-179.88602202087952
3.548869,0.015839,0.025815,0.014815,-0.044442,-0.003828,0.99696,-0.063878,-172.67283854009983,-5.11199639549989,-179.88753958783053,-172.67283854009983,-5.11199639549989,-179.88753958783053
