time,x,y,z,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.45972,0.006741,-0.012123,-0.012572,-0.011391,-0.021504,0.999637,-0.01159,-178.69997342534717,-1.3335188202037778,-177.55043992405578,-178.69997342534717,-1.3335188202037778,-177.55043992405578
3.461693,0.00677,-0.012133,-0.012533,-0.011089,-0.021497,0.999641,-0.011515,-178.70782633074023,-1.2987265852712748,-177.55076601995825,-178.70782633074023,-1.2987265852712748,-177.55076601995825
3.467708,0.0068,-0.012144,-0.012491,-0.010795,-0.021488,0.999646,-0.011429,-178.71696047614856,-1.264822825397701,-177.55132928604218,-178.71696047614856,-1.264822825397701,-177.55132928604218
3.473707,0.006638,-0.012059,-0.012558,-0.010406,-0.021191,0.999653,-0.011643,-178.69112917011464,-1.220391073195761,-177.58514926731775,-178.69112917011464,-1.220391073195761,-177.58514926731775
3.475691,0.006662,-0.012068,-0.012517,-0.010124,-0.021167,0.999658,-0.011543,-178.70188812795476,-1.187811496314829,-177.58742969687282,-178.70188812795476,-1.187811496314829,-177.58742969687282
3.479702,0.006686,-0.012079,-0.012475,-0.009857,-0.021139,0.999662,-0.011448,-178.71210327211259,-1.1569569127615462,-177.59019318200632,-178.71210327211259,-1.1569569127615462,-177.59019318200632
3.481694,0.006712,-0.01209,-0.012432,-0.009597,-0.02111,0.999667,-0.011358,-178.72176682386765,-1.1269169539222508,-177.59309935861484,-178.72176682386765,-1.1269169539222508,-177.59309935861484
3.491741,0.006589,-0.012083,-0.012426,-0.009218,-0.020675,0.999677,-0.011516,-178.70228386454733,-1.0833118310769365,-177.642658916131,-178.70228386454733,-1.0833118310769365,-177.642658916131
3.493789,0.00661,-0.012095,-0.012384,-0.008981,-0.020639,0.999681,-0.011441,-178.7102878779201,-1.0559368638549191,-177.6464105470465,-178.7102878779201,-1.0559368638549191,-177.6464105470465
3.497704,0.00663,-0.012108,-0.012342,-0.008763,-0.020612,0.999684,-0.011374,-178.7174284185519,-1.0307690629402704,-177.64916253765492,-178.7174284185519,-1.0307690629402704,-177.64916253765492
