time,x,y,z,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
5.03954,0.007454,-0.000566,0.025918,-0.0294,0.024536,0.998439,-0.04065,-175.2533971840241,-3.2511849977519027,177.04976658960038,-175.2533971840241,-3.2511849977519027,177.04976658960038
5.043555,0.007453,-0.000568,0.025917,-0.029434,0.024538,0.998437,-0.040684,-175.24938438405164,-3.254969462230669,177.04926293315324,-175.24938438405164,-3.254969462230669,177.04926293315324
5.047561,0.007452,-0.000572,0.025917,-0.029485,0.024541,0.998432,-0.040763,-175.24013878385173,-3.260560489614678,177.04840785242064,-175.24013878385173,-3.260560489614678,177.04840785242064
5.049521,0.007451,-0.000576,0.025916,-0.02954,0.024539,0.998427,-0.04084,-175.2311248470296,-3.2666388969584763,177.0481112227451,-175.2311248470296,-3.2666388969584763,177.0481112227451
5.055575,0.007432,-0.000509,0.02588,-0.02966,0.024563,0.998424,-0.040816,-175.2334155517343,-3.280335640790035,177.04484577543528,-175.2334155517343,-3.280335640790035,177.04484577543528
5.059575,0.007432,-0.000511,0.02588,-0.029668,0.024552,0.998423,-0.040847,-175.22987059981224,-3.2812131988896653,177.04596781232885,-175.22987059981224,-3.2812131988896653,177.04596781232885
5.063528,0.007432,-0.000515,0.02588,-0.02967,0.024538,0.998421,-0.040903,-175.22348187198799,-3.2813435009735725,177.04737932471787,-175.22348187198799,-3.2813435009735725,177.04737932471787
5.067551,0.007432,-0.000517,0.025881,-0.029672,0.024525,0.99842,-0.040934,-175.2199596639045,-3.281543060951181,177.04875831720997,-175.2199596639045,-3.281543060951181,177.04875831720997
5.071573,0.007432,-0.00052,0.025881,-0.029668,0.024509,0.998419,-0.040974,-175.21543527457112,-3.2810439109768996,177.05048256665359,-175.21543527457112,-3.2810439109768996,177.05048256665359
5.07555,0.007424,-0.000431,0.025863,-0.029607,0.02431,0.998418,-0.041154,-175.19561707620525,-3.2744836823765957,177.07301119623034,-175.19561707620525,-3.2744836823765957,177.07301119623034
5.083548,0.007426,-0.000436,0.025864,-0.029554,0.024265,0.998418,-0.041222,-175.18813034298657,-3.268433214935114,177.07821380770378,-175.18813034298657,-3.268433214935114,177.07821380770378
5.085524,0.007427,-0.000439,0.025865,-0.029515,0.024243,0.998418,-0.041256,-175.1844200277448,-3.263973437513666,177.08081730814655,-175.1844200277448,-3.263973437513666,177.08081730814655
5.091575,0.007428,-0.000441,0.025866,-0.029459,0.024222,0.99842,-0.041275,-175.18249566231503,-3.257609452433134,177.0834483129726,-175.18249566231503,-3.257609452433134,177.0834483129726
5.099541,0.007407,-0.000277,0.025841,-0.029692,0.024172,0.998416,-0.041232,-175.1868488429849,-3.284653147189044,177.08815847810894,-175.1868488429849,-3.284653147189044,177.08815847810894
5.103642,0.007408,-0.000278,0.025841,-0.029672,0.024163,0.998417,-0.041229,-175.18728758735833,-3.2824155031100206,177.0893006921845,-175.18728758735833,-3.2824155031100206,177.0893006921845
5.107579,0.007409,-0.00028,0.025842,-0.02964,0.024155,0.998417,-0.041251,-175.1848871611676,-3.278725231510696,177.0903033546836,-175.1848871611676,-3.278725231510696,177.0903033546836
5.117557,0.007388,-0.000212,0.025833,-0.029689,0.024316,0.998407,-0.041358,-175.17191644100006,-3.283245522324339,177.07124398158618,-175.17191644100006,-3.283245522324339,177.07124398158618
5.119525,0.007388,-0.000214,0.025833,-0.029698,0.024325,0.998405,-0.041391,-175.1680676637713,-3.2841352189051762,177.07005711347182,-175.1680676637713,-3.2841352189051762,177.07005711347182
5.127557,0.007386,-0.000216,0.025832,-0.029768,0.024348,0.9984,-0.041454,-175.1605385998866,-3.2918546202292744,177.06686370256492,-175.1605385998866,-3.2918546202292744,177.06686370256492
5.131606,0.007385,-0.000218,0.025831,-0.029819,0.024359,0.998396,-0.041502,-175.15482479742968,-3.2974988628940687,177.06518599820527,-175.15482479742968,-3.2974988628940687,177.06518599820527
5.13754,0.007366,-0.000192,0.025818,-0.030031,0.024297,0.998394,-0.041437,-175.16181103299397,-3.3222635683260697,177.07144749061294,-175.16181103299397,-3.3222635683260697,177.07144749061294
5.145554,0.007363,-0.000199,0.025816,-0.030166,0.024309,0.998383,-0.041588,-175.1439965319103,-3.3372181996585617,177.06888597320395,-175.1439965319103,-3.3372181996585617,177.06888597320395
5.147531,0.007361,-0.000201,0.025815,-0.030239,0.02431,0.998379,-0.041651,-175.1365380552895,-3.3453896213185854,177.06820015030567,-175.1365380552895,-3.3453896213185854,177.06820015030567
5.151564,0.007359,-0.000203,0.025814,-0.030316,0.024309,0.998373,-0.04173,-175.12721802954667,-3.3539774066285237,177.0676574454628,-175.12721802954667,-3.3539774066285237,177.0676574454628
5.159523,0.00734,-0.000146,0.025805,-0.030605,0.024344,0.998362,-0.04175,-175.12386311313782,-3.3868355833899066,177.06211027593335,-175.12386311313782,-3.3868355833899066,177.06211027593335
5.16562,0.007339,-0.000147,0.025805,-0.030616,0.024326,0.998361,-0.041784,-175.11998982246774,-3.3880840375236563,177.0640062077891,-175.11998982246774,-3.3880840375236563,177.0640062077891
5.169808,0.00734,-0.000148,0.025805,-0.030609,0.024303,0.998361,-0.041806,-175.11756675018856,-3.387330752921022,177.06660578377577,-175.11756675018856,-3.387330752921022,177.06660578377577
5.171546,0.00734,-0.000149,0.025806,-0.030589,0.024279,0.998362,-0.04182,-175.11611101606394,-3.385118344951439,177.06941524768445,-175.11611101606394,-3.385118344951439,177.06941524768445
5.177544,0.007323,-7.5e-05,0.025799,-0.030751,0.024232,0.998368,-0.041586,-175.14261314164807,-3.40458207014709,177.07478203436264,-175.14261314164807,-3.40458207014709,177.07478203436264
5.179545,0.007324,-7.5e-05,0.0258,-0.030704,0.024207,0.99837,-0.041584,-175.14307713232648,-3.399327516737253,177.07789143836814,-175.14307713232648,-3.399327516737253,177.07789143836814
5.187564,0.007327,-7.6e-05,0.025802,-0.030588,0.024166,0.998376,-0.04155,-175.14749297491778,-3.3863443628418217,177.08329330167592,-175.14749297491778,-3.3863443628418217,177.08329330167592
5.191545,0.007328,-7.7e-05,0.025803,-0.030538,0.024153,0.998378,-0.041536,-175.14929848379293,-3.3807219325224582,177.08507941360764,-175.14929848379293,-3.3807219325224582,177.08507941360764
5.197558,0.007307,-1.5e-05,0.025805,-0.030664,0.024232,0.998386,-0.041207,-175.18639838211556,-3.3957289398808994,177.07650588622357,-175.18639838211556,-3.3957289398808994,177.07650588622357
5.203528,0.007309,-1.7e-05,0.025806,-0.030581,0.024217,0.99839,-0.041178,-175.19004388445714,-3.3863821496117708,177.07873818827485,-175.19004388445714,-3.3863821496117708,177.07873818827485
5.207582,0.00731,-1.6e-05,0.025807,-0.030547,0.024212,0.998393,-0.041139,-175.19465066961152,-3.3826280612614807,177.0796154955414,-175.19465066961152,-3.3826280612614807,177.0796154955414
5.217572,0.007293,2e-06,0.025815,-0.030579,0.024177,0.998404,-0.040872,-175.2253206118843,-3.3872404047616724,177.0843765464496,-175.2253206118843,-3.3872404047616724,177.0843765464496
5.219585,0.007293,3e-06,0.025815,-0.030579,0.024179,0.998405,-0.040832,-175.22989740034672,-3.387345553756672,177.0842776573251,-175.22989740034672,-3.387345553756672,177.0842776573251
5.22352,0.007293,4e-06,0.025814,-0.030582,0.024185,0.998407,-0.040787,-175.23503921505474,-3.3877932100371924,177.0837309490713,-175.23503921505474,-3.3877932100371924,177.0837309490713
5.231544,0.007292,6e-06,0.025814,-0.030576,0.024196,0.99841,-0.040719,-175.24283204157604,-3.387253452490972,177.08273259561403,-175.24283204157604,-3.387253452490972,177.08273259561403
5.237551,0.007274,0.000108,0.025828,-0.03041,0.024559,0.998413,-0.040552,-175.26131376137724,-3.3670130068144966,177.04248852709802,-175.26131376137724,-3.3670130068144966,177.04248852709802
5.239539,0.007274,0.000111,0.025827,-0.030418,0.024565,0.998415,-0.040486,-175.26884005636737,-3.3680950287504547,177.0419810946341,-175.26884005636737,-3.3680950287504547,177.0419810946341
5.247559,0.007273,0.000116,0.025825,-0.030446,0.024572,0.998419,-0.040366,-175.2825035168551,-3.3716239779749224,177.04144735602637,-175.2825035168551,-3.3716239779749224,177.04144735602637
5.251526,0.007272,0.000118,0.025825,-0.030452,0.024572,0.99842,-0.04032,-175.28775504450607,-3.3724448753257295,177.04156719845147,-175.28775504450607,-3.3724448753257295,177.04156719845147
5.255529,0.007249,0.000198,0.025837,-0.030593,0.024749,0.99842,-0.040123,-175.30932349183723,-3.3883453207910734,177.02125342861876,-175.30932349183723,-3.3883453207910734,177.02125342861876
5.263546,0.007248,0.000203,0.025835,-0.030596,0.024743,0.998424,-0.040024,-175.32069833944533,-3.389012027294106,177.02226257067332,-175.32069833944533,-3.389012027294106,177.02226257067332
5.267548,0.007248,0.000206,0.025835,-0.030603,0.024739,0.998426,-0.039969,-175.32700154453698,-3.389995902923964,177.0228731404261,-175.32700154453698,-3.389995902923964,177.0228731404261
5.272377,0.007248,0.000207,0.025835,-0.030596,0.02473,0.998427,-0.039941,-175.33026126586688,-3.389317913262341,177.02402926700043,-175.33026126586688,-3.389317913262341,177.02402926700043
5.277574,0.007223,0.000164,0.025861,-0.030694,0.02505,0.998422,-0.039787,-175.34653037609132,-3.3995079636972227,176.98737734814833,-175.34653037609132,-3.3995079636972227,176.98737734814833
