time,x,y,z,tracker_x0,tracker_y0,tracker_z0,qw,qx,qy,qz,raw_roll,raw_pitch,raw_yaw,unwrapped_roll,unwrapped_pitch,unwrapped_yaw
3.494113,0.222593,0.031255,0.190667,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.04897,0.267293,-0.962306,0.011143,179.7274624130638,-5.750983551507535,-148.93967917793543,179.7274624130638,-5.750983551507535,-148.93967917793543
3.502083,0.222543,0.03144,0.191449,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.048801,0.266946,-0.962418,0.010488,179.66217864591937,-5.712301118731632,-148.97829909330383,179.66217864591937,-5.712301118731632,-148.97829909330383
3.504216,0.222519,0.03154,0.191837,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.048687,0.266774,-0.962475,0.010181,179.63270189408235,-5.690346315661937,-148.99767683473374,179.63270189408235,-5.690346315661937,-148.99767683473374
3.510077,0.222496,0.031642,0.192225,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.048559,0.266604,-0.962531,0.009907,179.60729338514713,-5.667861060379175,-149.01697886546094,179.60729338514713,-5.667861060379175,-149.01697886546094
3.514071,0.222853,0.030918,0.19218,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.047325,0.267207,-0.962425,0.009983,179.65027586271714,-5.533549020574281,-148.94963252585146,179.65027586271714,-5.533549020574281,-148.94963252585146
3.518129,0.222832,0.031013,0.192549,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.047176,0.267051,-0.962477,0.009791,179.63450408743077,-5.511240003121032,-148.96774890152773,179.63450408743077,-5.511240003121032,-148.96774890152773
3.522105,0.222809,0.031108,0.192917,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.047024,0.26691,-0.962525,0.009655,179.6249375862599,-5.490320127550478,-148.98442096876718,179.6249375862599,-5.490320127550478,-148.98442096876718
3.526087,0.222784,0.031203,0.193282,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.046867,0.266785,-0.962568,0.009579,179.62207453137646,-5.4706829112709086,-148.99948168620622,179.62207453137646,-5.4706829112709086,-148.99948168620622
3.528096,0.222759,0.031298,0.193644,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.046697,0.266677,-0.962606,0.009562,179.62604570288144,-5.45140935312439,-149.01281829181548,179.62604570288144,-5.45140935312439,-149.01281829181548
3.534127,0.22273,0.031392,0.194004,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.046527,0.266584,-0.96264,0.009599,179.63591129620858,-5.433787458151674,-149.02468877286577,179.63591129620858,-5.433787458151674,-149.02468877286577
3.538067,0.222698,0.031486,0.194363,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.046355,0.266506,-0.962669,0.009689,179.65162030612643,-5.417558141944816,-149.03499559818397,179.65162030612643,-5.417558141944816,-149.03499559818397
3.540054,0.222663,0.031581,0.194721,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.046186,0.266443,-0.962693,0.009827,179.67246627198065,-5.40312130851186,-149.04371389407873,179.67246627198065,-5.40312130851186,-149.04371389407873
3.546141,0.222625,0.031674,0.195075,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.046027,0.266391,-0.962713,0.010011,179.69803613277847,-5.391191841416217,-149.05130696574102,179.69803613277847,-5.391191841416217,-149.05130696574102
3.550085,0.222583,0.031767,0.195429,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.045877,0.266347,-0.96273,0.01024,179.72826781363517,-5.381630032632275,-149.05814222215318,179.72826781363517,-5.381630032632275,-149.05814222215318
3.558078,0.223023,0.030917,0.195568,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.044771,0.266814,-0.962647,0.010758,179.81709597494515,-5.275114842529966,-149.00831108310197,179.81709597494515,-5.275114842529966,-149.00831108310197
3.562092,0.222979,0.030994,0.195902,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.044635,0.26681,-0.962651,0.011071,179.855973278467,-5.26967474444718,-149.01068073472553,179.855973278467,-5.26967474444718,-149.01068073472553
3.564115,0.222934,0.031072,0.196235,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.044508,0.266816,-0.962652,0.011404,179.8967340178787,-5.265843119381242,-149.01196555261387,179.8967340178787,-5.265843119381242,-149.01196555261387
3.570099,0.222886,0.031151,0.196568,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.044395,0.26683,-0.962649,0.011767,179.94034105548886,-5.264474402067731,-149.01233379424605,179.94034105548886,-5.264474402067731,-149.01233379424605
3.574152,0.223276,0.030338,0.196453,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.042625,0.266929,-0.962672,0.013919,-179.76740920494353,-5.134760136686775,-149.0152189524588,180.23259079505647,-5.134760136686775,-149.0152189524588
3.578091,0.223224,0.030418,0.196779,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.042507,0.266966,-0.962661,0.014355,-179.71569340745515,-5.135087958753139,-149.0131370718907,180.28430659254485,-5.135087958753139,-149.0131370718907
3.588109,0.223118,0.030581,0.197443,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.042253,0.26704,-0.962637,0.015309,-179.6026285058739,-5.136271681921678,-149.00929832624328,180.3973714941261,-5.136271681921678,-149.00929832624328
3.592101,0.223064,0.030665,0.197784,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.042113,0.267072,-0.962626,0.015806,-179.5434552022286,-5.136040683091212,-149.008064310821,180.4565447977714,-5.136040683091212,-149.008064310821
3.596125,0.223152,0.030854,0.197914,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.041767,0.267436,-0.962529,0.016476,-179.46056372788598,-5.118531564268775,-148.96850388122303,180.53943627211402,-5.118531564268775,-148.96850388122303
3.60011,0.223099,0.030951,0.198262,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.041609,0.267471,-0.962518,0.016935,-179.40506198764126,-5.11517308862322,-148.9667525966312,180.59493801235874,-5.11517308862322,-148.9667525966312
3.602114,0.223044,0.03105,0.198618,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.041447,0.267503,-0.962509,0.01735,-179.35429428467512,-5.110025176916128,-148.9651950752017,180.64570571532488,-5.110025176916128,-148.9651950752017
3.606081,0.222989,0.031155,0.198983,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.041286,0.267534,-0.962501,0.017716,-179.30897867931523,-5.103485956892015,-148.9635267196805,180.69102132068477,-5.103485956892015,-148.9635267196805
3.614112,0.222876,0.031378,0.199739,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.040968,0.267591,-0.962487,0.018301,-179.2347221699319,-5.086332774631162,-148.9599463072107,180.7652778300681,-5.086332774631162,-148.9599463072107
3.618106,0.222819,0.031497,0.200129,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.040807,0.26762,-0.962482,0.018519,-179.20578584815667,-5.075254933877053,-148.9578185608989,180.79421415184333,-5.075254933877053,-148.9578185608989
3.622081,0.22276,0.031621,0.200527,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.040654,0.267643,-0.962479,0.018683,-179.1830432572668,-5.063398485692846,-148.9561129928983,180.8169567427332,-5.063398485692846,-148.9561129928983
3.626152,0.222701,0.031749,0.200933,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.040511,0.267654,-0.962479,0.018794,-179.16641284251088,-5.051006513209426,-148.95549616028327,180.83358715748912,-5.051006513209426,-148.95549616028327
3.628057,0.222642,0.031882,0.201345,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.040399,0.267656,-0.962482,0.018858,-179.15589361393074,-5.040594610503226,-148.95576021613888,180.84410638606926,-5.040594610503226,-148.95576021613888
3.634099,0.222959,0.031403,0.201304,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.04056,0.266902,-0.962693,0.018463,-179.20062001691105,-5.045641570920187,-149.04368010762857,180.79937998308895,-5.045641570920187,-149.04368010762857
3.640127,0.222866,0.031666,0.20213,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.040361,0.266892,-0.962704,0.018446,-179.19634887257672,-5.023111470495846,-149.04512612656833,180.80365112742328,-5.023111470495846,-149.04512612656833
3.646101,0.222824,0.031803,0.202549,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.040232,0.266885,-0.962712,0.018401,-179.19734119545984,-5.007466443065578,-149.04598022462386,180.80265880454016,-5.007466443065578,-149.04598022462386
3.650224,0.222814,0.031944,0.202961,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.040048,0.266869,-0.962725,0.018363,-179.1958261820887,-4.98594988456017,-149.04807161470882,180.8041738179113,-4.98594988456017,-149.04807161470882
3.654176,0.222775,0.032084,0.203388,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.039862,0.26683,-0.962743,0.018405,-179.18527224980653,-4.966641924180918,-149.05327148139924,180.81472775019347,-4.966641924180918,-149.05327148139924
3.658082,0.222747,0.032234,0.203824,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.03949,0.266813,-0.962762,0.018476,-179.1659230635974,-4.9276778182333905,-149.05630578904152,180.8340769364026,-4.9276778182333905,-149.05630578904152
3.662085,0.222721,0.032383,0.204267,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.039043,0.266821,-0.962776,0.018573,-179.14152699220597,-4.881238169533718,-149.05654321833316,180.85847300779403,-4.881238169533718,-149.05654321833316
3.664091,0.22269,0.032537,0.204712,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038681,0.266796,-0.962797,0.018565,-179.1311966169784,-4.840950538337986,-149.06004458317432,180.8688033830216,-4.840950538337986,-149.06004458317432
3.67031,0.222651,0.032695,0.205158,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038475,0.266759,-0.962818,0.018475,-179.13466845410943,-4.815394928062095,-149.06448074936094,180.86533154589057,-4.815394928062095,-149.06448074936094
3.676083,0.222897,0.032042,0.20502,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.037871,0.266596,-0.962877,0.018977,-179.05977938643855,-4.7638219048259165,-149.08701048512947,180.94022061356145,-4.7638219048259165,-149.08701048512947
3.680049,0.222861,0.0322,0.205455,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.037811,0.266592,-0.962883,0.018855,-179.07143353246812,-4.753456216723795,-149.08707514919882,180.92856646753188,-4.753456216723795,-149.08707514919882
3.682114,0.222834,0.032364,0.205887,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.037794,0.266593,-0.962885,0.018745,-179.0830981096936,-4.748212850123641,-149.0864690010006,180.9169018903064,-4.748212850123641,-149.0864690010006
3.686104,0.222791,0.032525,0.206327,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.037802,0.266586,-0.962888,0.018695,-179.0888454166655,-4.747563865084043,-149.0871140674495,180.9111545833345,-4.747563865084043,-149.0871140674495
3.688109,0.222754,0.032693,0.206768,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.037746,0.266589,-0.96289,0.018685,-179.08825477131484,-4.741072237123262,-149.08684141875298,180.91174522868516,-4.741072237123262,-149.08684141875298
3.698081,0.222883,0.032521,0.207163,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038655,0.265956,-0.963044,0.017888,-179.20115488998616,-4.8166704434914935,-149.157372279743,180.79884511001384,-4.8166704434914935,-149.157372279743
3.700081,0.222851,0.032678,0.207613,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038427,0.265988,-0.963042,0.018006,-179.18128266398833,-4.7950866547283155,-149.15444977032513,180.81871733601167,-4.7950866547283155,-149.15444977032513
3.70612,0.222813,0.032837,0.208068,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038218,0.266045,-0.963033,0.018102,-179.16455135792748,-4.774956891244331,-149.1484398203702,180.83544864207252,-4.774956891244331,-149.1484398203702
3.710094,0.222769,0.032998,0.208527,0.22190513000000012,0.037803540000000004,0.17947374999999996,0.038091,0.266092,-0.963024,0.018109,-179.1601289360656,-4.761165675044575,-149.14300016609735,180.8398710639344,-4.761165675044575,-149.14300016609735
