x,y,z,roll,pitch,yaw
-0.0,478.721,1491.881,91.292,0.353,-174.008
164.24,-602.593,1592.153,-117.082,53.008,176.988
164.179,-602.369,1592.2,-116.915,52.991,177.127
164.047,-601.957,1592.627,-116.459,53.08,177.508
163.787,-601.983,1592.183,-116.756,53.117,177.2
163.741,-601.771,1592.348,-116.509,53.026,177.532
163.844,-601.564,1593.019,-116.436,53.048,177.538
163.715,-601.043,1593.3,-116.272,53.06,177.719
163.499,-601.548,1592.048,-116.431,53.074,177.601
163.471,-601.439,1591.979,-116.518,53.043,177.47
163.495,-601.312,1592.028,-116.331,53.03,177.629
163.639,-601.129,1592.515,-116.189,53.057,177.667
163.661,-601.245,1592.111,-116.34,53.031,177.538
163.69,-601.149,1592.115,-116.266,53.052,177.559
163.702,-601.077,1592.125,-116.178,53.025,177.571
163.689,-600.986,1592.125,-116.176,53.068,177.562
163.645,-600.912,1592.088,-116.244,53.112,177.509
163.58,-600.81,1592.033,-116.348,53.144,177.438
163.542,-600.791,1591.995,-116.33,53.133,177.459
163.512,-600.766,1591.981,-116.251,53.135,177.477
163.489,-600.718,1591.968,-116.222,53.128,177.465
163.455,-600.667,1591.946,-116.188,53.112,177.465
163.476,-600.42,1592.205,-116.077,53.119,177.688
163.345,-600.584,1591.91,-116.237,53.166,177.648
163.3,-600.542,1591.844,-116.132,53.164,177.754
163.244,-600.469,1591.815,-116.011,53.175,177.824
163.202,-600.39,1591.816,-115.881,53.218,177.887
163.157,-600.321,1591.774,-115.873,53.213,177.853
163.074,-600.27,1591.737,-115.867,53.277,177.86
162.987,-600.19,1591.681,-115.84,53.312,177.899
162.885,-600.128,1591.619,-115.961,53.315,177.741
162.774,-599.787,1591.805,-116.501,53.37,177.09
162.702,-598.828,1592.289,-116.754,53.147,176.876
162.37,-598.103,1592.402,-117.165,53.101,176.442
162.134,-597.715,1592.199,-116.959,52.979,176.709
161.648,-597.455,1592.074,-116.939,53.022,176.695
161.231,-597.886,1591.926,-116.901,52.944,176.874
160.438,-597.563,1591.677,-117.394,52.932,176.391
159.835,-597.73,1591.43,-118.008,53.146,176.017
159.249,-598.019,1591.376,-118.585,53.377,175.61
158.466,-598.172,1591.331,-119.037,53.439,175.649
157.071,-598.804,1590.978,-119.435,54.308,175.821
155.753,-598.377,1589.832,-119.454,55.204,175.897
155.122,-596.907,1589.084,-118.625,55.526,176.855
155.068,-595.887,1588.843,-117.434,55.557,177.81
155.078,-595.005,1588.967,-116.147,55.531,179.207
155.185,-594.32,1589.046,-114.959,55.481,-179.653
155.394,-592.927,1589.156,-112.7,54.947,-177.309
155.23,-592.214,1589.356,-111.848,54.908,-176.417
154.888,-591.474,1589.469,-111.761,55.122,-176.475
154.576,-591.069,1589.342,-111.963,55.389,-176.904
154.274,-590.496,1589.063,-111.996,55.627,-177.095
154.177,-589.166,1588.757,-112.187,56.053,-177.642
154.258,-589.37,1588.761,-112.328,56.056,-178.041
154.373,-589.407,1589.118,-112.846,56.163,-178.86
154.594,-588.988,1589.335,-113.031,56.044,-179.203
154.714,-589.041,1589.379,-113.239,56.072,-179.612
154.875,-590.674,1588.843,-113.282,56.046,-179.712
154.857,-591.24,1588.612,-113.293,56.081,-179.822
